Age,Date,Tm,Home,Opp,Win,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
20-358,2005-12-23,CLE,H,IND,W,1,44,4,16,.250,4,15,.267,0,1,.000,6,11,.545,1,7,8,9,1,0,3,1,14,9.1
20-361,2005-12-26,CLE,H,CHI,W,1,45,12,25,.480,12,20,.600,0,5,.000,8,12,.667,1,7,8,6,2,2,2,0,32,26.1
20-362,2005-12-27,CLE,A,NJN,L,1,40,12,21,.571,11,16,.688,1,5,.200,6,9,.667,1,9,10,8,2,0,4,3,31,25.7
21-001,2005-12-31,CLE,H,DET,W,1,45,11,22,.500,9,17,.529,2,5,.400,6,7,.857,1,6,7,7,4,1,5,2,30,24.9
21-005,2006-01-04,CLE,A,MIL,W,1,46,12,29,.414,10,21,.476,2,8,.250,6,7,.857,2,9,11,11,5,1,4,1,32,29.2
21-006,2006-01-05,CLE,H,HOU,L,1,44,13,19,.684,10,12,.833,3,7,.429,3,6,.500,1,8,9,5,1,0,3,4,32,25.7
21-008,2006-01-07,CLE,H,MIL,W,1,45,14,22,.636,11,15,.733,3,7,.429,4,9,.444,2,5,7,6,0,1,0,1,35,30.6
21-011,2006-01-10,CLE,H,NYK,L,1,46,14,31,.452,14,24,.583,0,7,.000,8,11,.727,0,7,7,7,0,1,1,0,36,25.4
21-013,2006-01-12,CLE,A,LAL,L,1,40,11,22,.500,9,19,.474,2,3,.667,4,9,.444,0,2,2,9,0,0,5,2,28,16.1
21-015,2006-01-14,CLE,A,PHO,L,1,44,18,28,.643,13,20,.650,5,8,.625,5,5,1.000,0,7,7,8,1,0,1,1,46,40.9
21-016,2006-01-15,CLE,A,POR,L,1,41,10,26,.385,9,21,.429,1,5,.200,8,11,.727,2,11,13,7,1,3,2,3,29,23.1
21-019,2006-01-18,CLE,A,DEN,L,1,42,7,20,.350,5,14,.357,2,6,.333,8,15,.533,2,9,11,9,0,0,2,5,24,16.4
21-021,2006-01-20,CLE,A,GSW,L,1,35,5,22,.227,5,19,.263,0,3,.000,4,6,.667,1,8,9,6,0,0,6,3,14,-0.1
21-022,2006-01-21,CLE,A,UTA,W,1,43,19,35,.543,15,27,.556,4,8,.500,9,11,.818,0,5,5,8,2,0,3,4,51,37.8
21-025,2006-01-24,CLE,H,IND,W,1,35,7,21,.333,5,16,.313,2,5,.400,7,10,.700,0,7,7,8,2,2,1,0,23,20.0
21-030,2006-01-29,CLE,H,PHO,W,1,43,17,33,.515,14,26,.538,3,7,.429,7,12,.583,1,10,11,7,1,1,6,1,44,29.6
21-031,2006-01-30,CLE,A,CHA,W,1,32,11,19,.579,9,13,.692,2,6,.333,6,11,.545,1,5,6,6,5,1,4,2,30,26.4
21-033,2006-02-01,CLE,H,NJN,W,1,44,8,21,.381,8,19,.421,0,2,.000,10,12,.833,0,11,11,10,1,1,4,2,26,20.9
21-034,2006-02-02,CLE,A,MIA,L,1,39,12,29,.414,10,24,.417,2,5,.400,3,3,1.000,1,4,5,7,1,0,1,0,29,20.3
21-036,2006-02-04,CLE,H,PHI,L,1,47,10,17,.588,8,10,.800,2,7,.286,9,10,.900,2,2,4,6,2,1,4,0,31,27.6
21-038,2006-02-06,CLE,H,MIL,W,1,45,9,20,.450,7,13,.538,2,7,.286,2,4,.500,0,9,9,12,0,2,4,4,22,17.7
21-040,2006-02-08,CLE,A,MIN,W,1,46,11,34,.324,10,29,.345,1,5,.200,12,17,.706,1,10,11,8,1,0,0,3,35,22.7
21-042,2006-02-10,CLE,A,WAS,L,1,45,6,23,.261,6,20,.300,0,3,.000,6,8,.750,1,8,9,8,1,0,2,2,18,10.4
21-043,2006-02-11,CLE,H,GSW,L,1,44,10,17,.588,5,11,.455,5,6,.833,8,8,1.000,1,4,5,6,1,2,2,5,33,29.6
21-045,2006-02-13,CLE,H,SAS,W,1,41,19,33,.576,18,30,.600,1,3,.333,5,8,.625,2,1,3,5,4,0,2,0,44,34.5
21-047,2006-02-15,CLE,A,BOS,W,1,54,16,32,.500,16,27,.593,0,5,.000,11,15,.733,1,11,12,11,2,4,2,5,43,37.9
21-053,2006-02-21,CLE,H,ORL,W,1,43,10,24,.417,9,19,.474,1,5,.200,5,7,.714,0,2,2,9,1,2,2,0,26,19.7
21-054,2006-02-22,CLE,A,PHI,L,1,43,13,24,.542,12,20,.600,1,4,.250,6,10,.600,3,3,6,5,2,1,6,3,33,21.8
21-056,2006-02-24,CLE,H,WAS,L,1,48,7,21,.333,4,13,.308,3,8,.375,8,19,.421,0,7,7,9,1,0,4,2,25,13.3
21-058,2006-02-26,CLE,A,DET,L,1,38,9,20,.450,7,17,.412,2,3,.667,2,3,.667,1,8,9,7,0,0,3,3,22,15.0
21-059,2006-02-27,CLE,H,DET,L,1,47,9,22,.409,9,19,.474,0,3,.000,8,10,.800,1,3,4,6,0,1,5,0,26,14.9
21-061,2006-03-01,CLE,H,SAC,L,1,45,7,21,.333,6,17,.353,1,4,.250,4,7,.571,1,6,7,12,1,2,5,1,19,13.8
21-062,2006-03-02,CLE,A,CHI,W,1,47,11,27,.407,11,24,.458,0,3,.000,11,13,.846,2,9,11,8,0,1,5,4,33,21.5
21-065,2006-03-05,CLE,H,CHI,W,1,46,15,28,.536,14,25,.560,1,3,.333,6,6,1.000,0,9,9,7,2,0,3,3,37,28.8
21-067,2006-03-07,CLE,H,TOR,W,1,44,5,17,.294,3,11,.273,2,6,.333,5,6,.833,1,11,12,8,1,0,2,2,17,14.5
21-068,2006-03-08,CLE,A,TOR,W,1,44,13,24,.542,12,21,.571,1,3,.333,8,12,.667,1,5,6,6,1,0,0,2,35,28.4
21-070,2006-03-10,CLE,A,ORL,L,1,39,9,22,.409,7,16,.438,2,6,.333,5,6,.833,2,5,7,2,2,1,5,0,25,14.8
21-072,2006-03-12,CLE,A,MIA,L,1,45,11,27,.407,10,21,.476,1,6,.167,24,28,.857,2,5,7,4,0,1,5,2,47,31.5
21-074,2006-03-14,CLE,A,DAL,L,1,45,14,27,.519,14,25,.560,0,2,.000,8,8,1.000,1,11,12,5,0,2,4,1,36,27.2
21-077,2006-03-17,CLE,H,POR,W,1,44,9,23,.391,8,17,.471,1,6,.167,8,10,.800,2,7,9,5,6,0,1,2,27,24.9
21-079,2006-03-19,CLE,H,LAL,W,1,47,10,24,.417,7,20,.350,3,4,.750,6,10,.600,1,7,8,7,1,0,7,3,29,15.1
21-082,2006-03-22,CLE,H,CHA,W,1,50,10,21,.476,9,16,.563,1,5,.200,16,23,.696,0,11,11,12,0,1,5,4,37,29.3
21-084,2006-03-24,CLE,H,BOS,W,1,45,13,26,.500,9,18,.500,4,8,.500,6,8,.750,3,4,7,8,2,3,0,2,36,34.4
21-086,2006-03-26,CLE,A,HOU,W,1,49,14,34,.412,14,30,.467,0,4,.000,8,11,.727,3,3,6,5,2,0,2,2,36,22.3
21-089,2006-03-29,CLE,H,DAL,W,1,43,16,23,.696,12,16,.750,4,7,.571,10,13,.769,0,5,5,4,3,0,2,3,46,39.2
21-092,2006-04-01,CLE,H,MIA,W,1,45,16,25,.640,14,19,.737,2,6,.333,13,14,.929,4,8,12,9,2,0,4,3,47,43.8
21-093,2006-04-02,CLE,A,CHA,W,1,41,13,24,.542,11,19,.579,2,5,.400,7,9,.778,1,11,12,8,1,2,3,5,35,29.6
21-095,2006-04-04,CLE,H,PHI,W,1,35,13,22,.591,9,12,.750,4,10,.400,7,9,.778,1,3,4,7,4,0,3,4,37,31.9
21-096,2006-04-05,CLE,A,NYK,L,1,45,12,24,.500,8,17,.471,4,7,.571,8,14,.571,0,2,2,7,3,0,5,3,36,23.9
21-099,2006-04-08,CLE,A,NJN,W,1,44,12,26,.462,12,23,.522,0,3,.000,13,16,.813,1,4,5,7,1,0,6,5,37,22.2
21-101,2006-04-10,CLE,A,NOK,W,1,42,12,24,.500,12,21,.571,0,3,.000,8,12,.667,1,3,4,6,0,0,2,1,32,21.8
21-103,2006-04-12,CLE,A,DET,L,1,31,8,18,.444,8,15,.533,0,3,.000,6,8,.750,0,3,3,1,0,0,2,0,22,11.4
21-107,2006-04-16,CLE,A,WAS,L,1,30,8,16,.500,8,16,.500,0,0,,1,2,.500,0,5,5,4,1,1,3,2,17,10.8
21-306,2006-11-01,CLE,H,WAS,W,1,41,11,24,.458,9,20,.450,2,4,.500,2,6,.333,3,7,10,5,0,2,5,2,26,15.3
21-308,2006-11-03,CLE,A,SAS,W,1,42,14,26,.538,13,24,.542,1,2,.500,6,11,.545,1,9,10,4,1,1,2,3,35,25.1
21-309,2006-11-04,CLE,A,CHA,L,1,38,3,13,.231,2,10,.200,1,3,.333,9,10,.900,4,5,9,7,0,1,2,0,16,15.6
21-312,2006-11-07,CLE,H,ATL,L,1,47,13,26,.500,10,18,.556,3,8,.375,5,11,.455,0,7,7,6,2,1,2,1,34,25.2
21-314,2006-11-09,CLE,H,CHI,W,1,38,6,13,.462,6,12,.500,0,1,.000,7,8,.875,0,4,4,12,3,2,3,0,19,22.9
21-316,2006-11-11,CLE,H,BOS,W,1,44,9,17,.529,8,13,.615,1,4,.250,19,23,.826,1,7,8,5,3,0,2,4,38,33.8
21-318,2006-11-13,CLE,A,NYK,W,1,41,10,19,.526,7,15,.467,3,4,.750,6,9,.667,0,4,4,6,2,1,3,2,29,22.8
21-320,2006-11-15,CLE,H,POR,W,1,39,10,15,.667,7,9,.778,3,6,.500,9,11,.818,0,7,7,7,2,1,4,2,32,29.6
21-322,2006-11-17,CLE,H,MIN,W,1,41,12,24,.500,10,19,.526,2,5,.400,11,14,.786,2,7,9,6,1,2,4,1,37,29.5
21-323,2006-11-18,CLE,A,WAS,L,1,33,8,20,.400,8,19,.421,0,1,.000,4,5,.800,2,3,5,4,2,0,3,2,20,12.1
21-326,2006-11-21,CLE,H,MEM,W,1,42,7,21,.333,6,16,.375,1,5,.200,0,1,.000,0,1,1,9,3,1,3,1,15,9.6
21-327,2006-11-22,CLE,A,TOR,L,1,40,11,24,.458,9,17,.529,2,7,.286,6,9,.667,0,10,10,8,4,0,2,1,30,26.6
21-329,2006-11-24,CLE,A,IND,L,1,42,6,14,.429,4,12,.333,2,2,1.000,16,20,.800,1,6,7,5,1,0,3,6,30,22.6
21-330,2006-11-25,CLE,H,PHI,W,1,41,10,20,.500,9,16,.563,1,4,.250,4,7,.571,0,4,4,11,0,1,7,4,25,14.8
21-334,2006-11-29,CLE,H,NYK,L,1,41,10,22,.455,10,17,.588,0,5,.000,7,11,.636,1,6,7,6,0,1,5,1,27,16.0
21-336,2006-12-01,CLE,A,ATL,W,1,43,12,23,.522,11,20,.550,1,3,.333,6,10,.600,2,5,7,8,3,2,4,4,31,25.4
21-337,2006-12-02,CLE,A,HOU,L,1,36,7,22,.318,5,16,.313,2,6,.333,5,7,.714,1,4,5,4,0,0,3,2,21,8.5
21-341,2006-12-06,CLE,H,TOR,W,1,41,11,18,.611,10,16,.625,1,2,.500,3,5,.600,1,5,6,10,1,0,4,1,26,22.8
21-344,2006-12-09,CLE,H,IND,W,1,32,11,16,.688,10,13,.769,1,3,.333,4,6,.667,0,7,7,6,1,1,3,0,27,24.4
21-346,2006-12-11,CLE,A,NOK,L,1,42,7,18,.389,7,15,.467,0,3,.000,1,1,1.000,3,4,7,6,4,0,3,1,15,13.3
21-348,2006-12-13,CLE,H,CHA,W,1,42,6,17,.353,6,15,.400,0,2,.000,10,11,.909,1,7,8,7,1,1,6,1,22,15.1
21-350,2006-12-15,CLE,H,SEA,W,1,34,9,14,.643,7,11,.636,2,3,.667,2,3,.667,0,9,9,7,1,0,4,3,22,18.8
21-351,2006-12-16,CLE,A,ORL,L,1,41,10,19,.526,8,14,.571,2,5,.400,7,9,.778,1,4,5,5,0,1,4,4,29,19.4
21-355,2006-12-20,CLE,A,NJN,L,1,40,10,22,.455,9,19,.474,1,3,.333,16,21,.762,0,1,1,8,2,1,3,4,37,27.6
21-356,2006-12-21,CLE,H,DET,L,1,43,9,20,.450,9,19,.474,0,1,.000,8,8,1.000,2,8,10,5,2,0,1,1,26,23.5
21-358,2006-12-23,CLE,H,ORL,W,1,43,13,21,.619,11,18,.611,2,3,.667,4,10,.400,0,7,7,1,0,0,7,1,32,15.5
21-362,2006-12-27,CLE,A,ATL,W,1,40,10,25,.400,9,23,.391,1,2,.500,6,8,.750,1,8,9,3,1,2,1,1,27,18.9
21-364,2006-12-29,CLE,H,MIL,W,1,44,11,21,.524,9,15,.600,2,6,.333,8,13,.615,1,3,4,5,1,1,3,5,32,21.5
22-000,2006-12-30,CLE,A,CHI,L,1,40,15,26,.577,12,22,.545,3,4,.750,0,3,.000,2,7,9,3,1,0,5,4,33,19.6
22-003,2007-01-02,CLE,H,SAS,W,1,40,7,17,.412,7,16,.438,0,1,.000,5,11,.455,0,5,5,5,2,0,3,1,19,11.1
22-004,2007-01-03,CLE,A,BOS,W,1,45,11,20,.550,9,17,.529,2,3,.667,8,10,.800,1,5,6,4,3,1,3,0,32,27.3
22-006,2007-01-05,CLE,A,MIL,W,1,43,3,13,.231,3,9,.333,0,4,.000,2,2,1.000,0,5,5,9,1,0,2,1,8,6.5
22-007,2007-01-06,CLE,H,NJN,W,1,44,9,21,.429,8,18,.444,1,3,.333,0,0,,0,13,13,4,3,3,5,4,19,13.1
22-010,2007-01-09,CLE,A,SAC,W,1,43,14,26,.538,11,19,.579,3,7,.429,3,3,1.000,1,3,4,7,2,1,3,3,34,26.4
22-012,2007-01-11,CLE,A,PHO,L,1,39,15,28,.536,12,19,.632,3,9,.333,1,2,.500,2,4,6,6,1,0,5,2,34,22.0
22-014,2007-01-13,CLE,A,LAC,W,1,42,10,23,.435,10,22,.455,0,1,.000,8,8,1.000,1,5,6,6,1,0,2,4,28,19.7
22-017,2007-01-16,CLE,A,SEA,L,1,44,8,21,.381,7,14,.500,1,7,.143,13,15,.867,1,6,7,8,2,1,4,0,30,24.5
22-018,2007-01-17,CLE,A,POR,L,1,35,8,21,.381,7,17,.412,1,4,.250,6,13,.462,3,3,6,2,1,0,4,0,23,10.1
22-020,2007-01-19,CLE,A,DEN,L,1,44,9,23,.391,9,22,.409,0,1,.000,12,14,.857,2,8,10,10,2,0,3,2,30,25.7
22-021,2007-01-20,CLE,A,GSW,W,1,46,14,22,.636,12,15,.800,2,7,.286,2,5,.400,0,7,7,5,4,0,9,2,32,20.8
22-023,2007-01-22,CLE,H,ORL,L,1,43,6,15,.400,6,12,.500,0,3,.000,6,13,.462,0,4,4,5,3,0,2,2,18,12.0
22-025,2007-01-24,CLE,H,PHI,L,1,53,14,26,.538,11,18,.611,3,8,.375,8,13,.615,2,8,10,5,1,0,4,2,39,27.9
22-029,2007-01-28,CLE,H,PHO,L,1,42,12,22,.545,9,16,.563,3,6,.500,3,6,.500,2,7,9,5,2,0,3,2,30,23.4
22-033,2007-02-01,CLE,A,MIA,L,1,36,6,18,.333,4,11,.364,2,7,.286,3,8,.375,1,5,6,9,1,0,2,4,17,10.7
22-034,2007-02-02,CLE,H,CHA,W,1,36,7,13,.538,7,12,.583,0,1,.000,4,8,.500,1,9,10,3,2,0,1,1,18,16.2
22-036,2007-02-04,CLE,H,DET,L,1,43,9,22,.409,8,18,.444,1,4,.250,2,3,.667,0,5,5,6,2,0,3,2,21,12.7
22-039,2007-02-07,CLE,H,LAC,W,1,36,4,13,.308,3,11,.273,1,2,.500,2,2,1.000,0,7,7,3,1,1,2,1,11,7.0
22-041,2007-02-09,CLE,H,MIA,W,1,41,12,22,.545,11,18,.611,1,4,.250,4,8,.500,1,6,7,6,0,0,2,1,29,21.1
22-043,2007-02-11,CLE,H,LAL,W,1,38,5,16,.313,5,14,.357,0,2,.000,8,12,.667,1,7,8,5,1,1,1,3,18,13.0
22-046,2007-02-14,CLE,A,UTA,L,1,43,9,25,.360,9,22,.409,0,3,.000,5,9,.556,3,7,10,4,1,3,0,2,23,16.8
22-047,2007-02-15,CLE,A,LAL,W,1,40,10,16,.625,10,15,.667,0,1,.000,18,22,.818,0,4,4,3,3,0,3,4,38,30.9
22-053,2007-02-21,CLE,A,TOR,W,1,37,12,25,.480,12,24,.500,0,1,.000,5,5,1.000,0,4,4,2,1,1,3,3,29,16.4
22-054,2007-02-22,CLE,H,CHI,L,1,43,13,28,.464,12,24,.500,1,4,.250,2,8,.250,3,4,7,2,3,0,3,1,29,16.5
22-057,2007-02-25,CLE,A,MIA,L,1,42,10,22,.455,8,17,.471,2,5,.400,7,12,.583,0,3,3,7,0,1,2,2,29,19.3
22-059,2007-02-27,CLE,H,NOK,W,1,43,14,22,.636,11,18,.611,3,4,.750,4,7,.571,1,4,5,8,2,1,4,1,35,29.8
22-061,2007-03-01,CLE,A,DAL,L,1,40,17,27,.630,16,23,.696,1,4,.250,4,8,.500,0,3,3,5,0,0,2,2,39,26.9
22-063,2007-03-03,CLE,H,TOR,W,1,37,10,20,.500,9,17,.529,1,3,.333,15,17,.882,2,3,5,6,0,3,2,1,36,31.4
22-065,2007-03-05,CLE,H,HOU,W,1,42,12,24,.500,9,18,.500,3,6,.500,5,9,.556,1,11,12,8,0,0,3,2,32,24.2
22-067,2007-03-07,CLE,A,DET,W,1,51,17,31,.548,16,28,.571,1,3,.333,6,8,.750,2,5,7,8,3,1,4,4,41,31.9
22-070,2007-03-10,CLE,A,MIL,W,1,37,12,22,.545,8,16,.500,4,6,.667,4,4,1.000,0,8,8,9,3,1,6,5,32,25.8
22-077,2007-03-17,CLE,H,UTA,W,1,44,8,21,.381,8,15,.533,0,6,.000,8,13,.615,2,15,17,9,2,2,4,3,24,20.9
22-080,2007-03-20,CLE,A,CHA,L,1,47,12,31,.387,10,22,.455,2,9,.222,11,12,.917,2,4,6,6,1,3,3,4,37,25.0
22-081,2007-03-21,CLE,H,DAL,L,1,45,12,28,.429,11,22,.500,1,6,.167,6,7,.857,0,6,6,4,2,3,6,3,31,17.3
22-083,2007-03-23,CLE,H,NYK,W,1,38,8,16,.500,8,15,.533,0,1,.000,5,6,.833,1,2,3,10,2,0,1,1,21,21.5
22-085,2007-03-25,CLE,H,DEN,L,1,41,8,19,.421,7,13,.538,1,6,.167,1,1,1.000,0,3,3,8,1,0,5,4,18,8.8
22-087,2007-03-27,CLE,A,IND,W,1,40,8,18,.444,8,15,.533,0,3,.000,10,14,.714,1,6,7,6,2,0,3,4,26,19.1
22-088,2007-03-28,CLE,A,NYK,L,1,44,6,20,.300,4,15,.267,2,5,.400,10,14,.714,1,5,6,7,2,0,3,3,24,15.7
22-091,2007-03-31,CLE,A,CHI,W,1,47,14,25,.560,14,22,.636,0,3,.000,11,13,.846,1,4,5,9,3,0,7,4,39,28.9
22-094,2007-04-03,CLE,A,MIN,W,1,42,13,24,.542,13,22,.591,0,2,.000,5,5,1.000,2,10,12,6,4,1,2,1,31,30.3
22-096,2007-04-05,CLE,H,MIA,L,1,49,11,21,.524,9,16,.563,2,5,.400,11,13,.846,2,7,9,5,0,0,4,4,35,25.3
22-097,2007-04-06,CLE,A,WAS,W,1,44,7,23,.304,7,20,.350,0,3,.000,11,14,.786,0,6,6,5,1,1,2,3,25,14.3
22-099,2007-04-08,CLE,A,DET,L,1,43,5,16,.313,4,12,.333,1,4,.250,9,11,.818,1,4,5,6,1,0,5,2,20,11.3
22-103,2007-04-12,CLE,H,NJN,W,1,35,15,27,.556,15,26,.577,0,1,.000,5,9,.556,3,5,8,4,2,1,2,1,35,27.2
22-105,2007-04-14,CLE,H,ATL,W,1,32,8,16,.500,5,10,.500,3,6,.500,4,5,.800,1,4,5,6,1,1,0,1,23,22.0
22-108,2007-04-17,CLE,A,PHI,W,1,36,7,15,.467,7,13,.538,0,2,.000,4,7,.571,1,4,5,6,0,0,1,3,18,13.0
22-109,2007-04-18,CLE,H,MIL,W,1,40,9,18,.500,8,14,.571,1,4,.250,5,10,.500,0,5,5,9,2,0,2,2,24,20.0
22-305,2007-10-31,CLE,H,DAL,L,1,36,2,11,.182,2,9,.222,0,2,.000,6,10,.600,1,4,5,4,1,0,5,4,10,0.6
22-307,2007-11-02,CLE,H,NYK,W,1,44,13,28,.464,10,23,.435,3,5,.600,16,22,.727,3,4,7,7,3,1,3,1,45,36.7
22-309,2007-11-04,CLE,A,PHO,L,1,43,11,26,.423,8,21,.381,3,5,.600,2,2,1.000,1,4,5,8,2,4,3,0,27,22.5
22-311,2007-11-06,CLE,A,GSW,W,1,42,9,16,.563,8,14,.571,1,2,.500,5,7,.714,1,12,13,9,0,3,2,1,24,25.9
22-312,2007-11-07,CLE,A,UTA,L,1,41,12,27,.444,11,23,.478,1,4,.250,7,15,.467,2,13,15,13,3,2,4,4,32,27.9
22-314,2007-11-09,CLE,A,SAC,W,1,44,10,19,.526,10,17,.588,0,2,.000,6,8,.750,0,4,4,4,1,1,1,1,26,20.2
22-316,2007-11-11,CLE,A,LAC,W,1,36,9,21,.429,9,19,.474,0,2,.000,4,8,.500,1,4,5,8,6,1,5,3,22,17.3
22-317,2007-11-12,CLE,A,DEN,L,1,34,9,16,.563,8,13,.615,1,3,.333,8,14,.571,0,1,1,4,2,0,4,3,27,16.9
22-319,2007-11-14,CLE,H,ORL,L,1,47,15,27,.556,13,23,.565,2,4,.500,7,9,.778,4,9,13,14,0,2,4,1,39,37.6
22-321,2007-11-16,CLE,H,UTA,W,1,40,13,27,.481,12,24,.500,1,3,.333,13,15,.867,2,8,10,9,0,3,5,3,40,31.5
22-325,2007-11-20,CLE,H,MIL,L,1,44,11,22,.500,10,15,.667,1,7,.143,11,12,.917,0,7,7,7,1,1,3,4,34,26.7
22-326,2007-11-21,CLE,A,MIN,W,1,39,17,26,.654,11,16,.688,6,10,.600,5,8,.625,2,6,8,5,3,2,3,2,45,39.7
22-329,2007-11-24,CLE,H,TOR,W,1,45,14,29,.483,12,21,.571,2,8,.250,7,8,.875,3,9,12,12,3,1,4,3,37,33.6
22-330,2007-11-25,CLE,A,IND,W,1,36,10,21,.476,9,15,.600,1,6,.167,9,15,.600,3,8,11,10,4,1,2,1,30,30.7
22-332,2007-11-27,CLE,H,BOS,W,1,46,11,25,.440,9,17,.529,2,8,.250,14,15,.933,0,4,4,13,2,2,3,2,38,34.4
22-333,2007-11-28,CLE,A,DET,L,1,20,5,11,.455,5,9,.556,0,2,.000,5,9,.556,0,1,1,3,0,0,0,1,15,9.7
22-346,2007-12-11,CLE,H,IND,W,0,23,5,9,.556,5,8,.625,0,1,.000,7,10,.700,1,2,3,5,1,1,4,2,17,13.2
22-349,2007-12-14,CLE,A,NJN,L,1,41,12,25,.480,9,16,.563,3,9,.333,2,3,.667,0,6,6,8,2,0,6,3,29,18.1
22-350,2007-12-15,CLE,H,PHI,L,1,42,10,18,.556,10,17,.588,0,1,.000,1,1,1.000,0,6,6,6,0,1,3,1,21,15.7
22-352,2007-12-17,CLE,H,MIL,W,1,50,10,25,.400,10,20,.500,0,5,.000,11,13,.846,1,7,8,5,1,0,2,3,31,20.8
22-354,2007-12-19,CLE,A,NYK,L,1,37,12,21,.571,9,15,.600,3,6,.500,5,6,.833,1,7,8,6,6,0,4,1,32,30.3
22-355,2007-12-20,CLE,H,LAL,W,1,38,12,29,.414,12,26,.462,0,3,.000,9,11,.818,4,6,10,5,1,1,3,3,33,22.3
22-358,2007-12-23,CLE,H,GSW,L,1,41,8,20,.400,8,18,.444,0,2,.000,9,13,.692,2,3,5,8,1,1,3,2,25,18.4
22-360,2007-12-25,CLE,H,MIA,W,1,39,9,19,.474,9,16,.563,0,3,.000,7,11,.636,0,6,6,12,1,1,2,3,25,22.4
22-362,2007-12-27,CLE,A,DAL,W,1,36,9,21,.429,8,17,.471,1,4,.250,5,10,.500,4,4,8,7,3,0,3,5,24,17.8
22-364,2007-12-29,CLE,A,NOH,L,1,42,8,21,.381,7,17,.412,1,4,.250,4,6,.667,2,3,5,6,1,0,4,1,21,11.8
23-003,2008-01-02,CLE,H,ATL,W,1,40,13,22,.591,12,19,.632,1,3,.333,9,11,.818,1,4,5,6,2,1,2,1,36,31.4
23-005,2008-01-04,CLE,H,SAC,W,1,45,7,18,.389,6,12,.500,1,6,.167,9,12,.750,1,7,8,10,5,1,3,1,24,25.1
23-007,2008-01-06,CLE,A,TOR,W,1,46,14,29,.483,10,21,.476,4,8,.500,7,12,.583,3,8,11,8,0,0,1,1,39,31.0
23-009,2008-01-08,CLE,H,SEA,W,1,35,8,18,.444,8,15,.533,0,3,.000,6,6,1.000,2,6,8,3,2,0,4,2,22,15.1
23-010,2008-01-09,CLE,A,ATL,L,1,43,13,22,.591,13,18,.722,0,4,.000,5,9,.556,3,7,10,6,3,1,3,3,31,27.1
23-012,2008-01-11,CLE,H,CHA,W,1,50,10,20,.500,8,13,.615,2,7,.286,9,15,.600,5,14,19,8,4,3,8,3,31,28.8
23-016,2008-01-15,CLE,A,MEM,W,1,47,18,28,.643,12,16,.750,6,12,.500,9,16,.563,3,5,8,9,3,1,4,1,51,45.0
23-018,2008-01-17,CLE,A,SAS,W,1,39,9,24,.375,8,19,.421,1,5,.200,8,12,.667,3,6,9,7,0,2,3,1,27,19.0
23-022,2008-01-21,CLE,A,MIA,W,1,40,11,26,.423,10,22,.455,1,4,.250,5,5,1.000,1,2,3,5,4,1,5,4,28,17.1
23-024,2008-01-23,CLE,H,WAS,W,1,31,7,13,.538,6,10,.600,1,3,.333,8,9,.889,2,6,8,8,2,1,0,2,23,27.0
23-026,2008-01-25,CLE,H,PHO,L,1,39,14,30,.467,14,29,.483,0,1,.000,8,10,.800,2,5,7,5,2,0,1,3,36,26.0
23-028,2008-01-27,CLE,A,LAL,W,1,44,16,32,.500,15,27,.556,1,5,.200,8,12,.667,3,6,9,4,2,0,5,4,41,25.5
23-031,2008-01-30,CLE,A,POR,W,1,44,13,29,.448,10,23,.435,3,6,.500,8,12,.667,2,12,14,4,2,2,4,3,37,26.3
23-034,2008-02-02,CLE,H,LAC,W,1,44,8,19,.421,7,15,.467,1,4,.250,11,16,.688,0,11,11,7,2,1,3,2,28,23.0
23-037,2008-02-05,CLE,H,BOS,W,1,42,11,21,.524,7,13,.538,4,8,.500,7,10,.700,1,8,9,12,5,2,7,5,33,30.4
23-039,2008-02-07,CLE,A,HOU,L,1,41,12,23,.522,10,18,.556,2,5,.400,6,11,.545,1,6,7,6,2,2,3,0,32,25.8
23-040,2008-02-08,CLE,A,ATL,W,1,44,11,24,.458,11,21,.524,0,3,.000,4,4,1.000,4,7,11,7,2,1,1,2,26,24.3
23-042,2008-02-10,CLE,H,DEN,L,1,33,11,23,.478,9,18,.500,2,5,.400,6,6,1.000,1,4,5,3,2,0,5,1,30,18.9
23-043,2008-02-11,CLE,A,ORL,W,1,44,8,15,.533,7,13,.538,1,2,.500,12,15,.800,1,6,7,10,3,1,5,3,29,27.5
23-045,2008-02-13,CLE,H,SAS,L,1,43,17,31,.548,16,26,.615,1,5,.200,4,7,.571,2,4,6,9,0,1,3,4,39,27.9
23-051,2008-02-19,CLE,H,HOU,L,1,42,7,18,.389,3,11,.273,4,7,.571,8,11,.727,2,11,13,11,2,0,5,2,26,23.6
23-052,2008-02-20,CLE,A,IND,W,1,43,11,22,.500,10,17,.588,1,5,.200,8,12,.667,2,12,14,12,2,1,4,1,31,30.1
23-054,2008-02-22,CLE,H,WAS,W,1,45,11,20,.550,9,14,.643,2,6,.333,9,14,.643,3,12,15,8,1,1,3,1,33,31.0
23-056,2008-02-24,CLE,H,MEM,W,1,39,10,17,.588,9,13,.692,1,4,.250,4,5,.800,1,6,7,11,3,1,6,2,25,23.8
23-058,2008-02-26,CLE,A,MIL,L,1,38,16,24,.667,15,21,.714,1,3,.333,2,5,.400,0,4,4,6,0,1,2,3,35,26.3
