Age,Date,Tm,Home,Opp,Win,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
33-035,2018-02-03,CLE,H,HOU,L,1,31,3,10,.300,2,8,.250,1,2,.500,4,4,1.000,1,8,9,9,2,1,2,0,11,15.3
33-038,2018-02-06,CLE,A,ORL,L,1,33,10,17,.588,8,13,.615,2,4,.500,3,4,.750,1,9,10,5,1,0,6,4,25,17.0
33-039,2018-02-07,CLE,H,MIN,W,1,48,16,22,.727,11,15,.733,5,7,.714,0,2,.000,1,9,10,15,1,1,5,3,37,36.6
33-041,2018-02-09,CLE,A,ATL,W,1,41,8,20,.400,8,17,.471,0,3,.000,6,7,.857,2,10,12,19,0,0,3,2,22,24.7
33-043,2018-02-11,CLE,A,BOS,W,1,28,9,20,.450,7,15,.467,2,5,.400,4,7,.571,0,8,8,10,1,1,2,1,24,21.1
33-045,2018-02-13,CLE,A,OKC,W,1,40,14,23,.609,11,16,.688,3,7,.429,6,10,.600,0,8,8,8,0,1,5,1,37,28.2
33-054,2018-02-22,CLE,H,WAS,L,1,37,13,18,.722,12,14,.857,1,4,.250,5,9,.556,1,8,9,8,2,0,4,2,32,28.9
33-055,2018-02-23,CLE,A,MEM,W,1,37,7,16,.438,7,14,.500,0,2,.000,4,4,1.000,0,14,14,11,1,0,3,0,18,19.5
33-057,2018-02-25,CLE,H,SAS,L,1,40,14,25,.560,12,20,.600,2,5,.400,3,4,.750,2,11,13,9,1,0,6,3,33,25.5
33-059,2018-02-27,CLE,H,BRK,W,1,39,13,25,.520,11,21,.524,2,4,.500,3,3,1.000,4,8,12,11,1,0,1,1,31,31.2
33-061,2018-03-01,CLE,H,PHI,L,1,39,12,24,.500,10,18,.556,2,6,.333,4,6,.667,1,8,9,8,1,0,3,2,30,23.1
33-063,2018-03-03,CLE,H,DEN,L,1,42,8,19,.421,7,15,.467,1,4,.250,8,11,.727,1,9,10,15,2,0,3,2,25,25.8
33-065,2018-03-05,CLE,H,DET,W,1,29,11,17,.647,6,10,.600,5,7,.714,4,6,.667,2,5,7,7,1,0,3,2,31,27.7
33-067,2018-03-07,CLE,A,DEN,W,1,39,15,25,.600,10,17,.588,5,8,.625,4,8,.500,1,7,8,10,1,0,3,2,39,32.9
33-069,2018-03-09,CLE,A,LAC,L,1,39,11,20,.550,8,13,.615,3,7,.429,0,2,.000,0,10,10,6,2,3,5,2,25,20.1
33-071,2018-03-11,CLE,A,LAL,L,1,31,9,20,.450,7,12,.583,2,8,.250,4,5,.800,2,8,10,7,1,1,2,0,24,21.6
33-073,2018-03-13,CLE,A,PHO,W,1,33,7,14,.500,6,12,.500,1,2,.500,13,15,.867,0,12,12,11,3,2,5,2,28,30.1
33-075,2018-03-15,CLE,A,POR,L,1,41,15,25,.600,14,21,.667,1,4,.250,4,9,.444,0,14,14,6,2,3,6,4,35,26.4
33-077,2018-03-17,CLE,A,CHI,W,1,40,15,26,.577,13,18,.722,2,8,.250,1,4,.250,1,12,13,12,1,2,6,3,33,27.5
33-079,2018-03-19,CLE,H,MIL,W,1,40,16,29,.552,13,22,.591,3,7,.429,5,8,.625,5,7,12,10,2,1,6,2,40,33.4
